Brand,Mileage,Fuel Consumption (L/100km),Horsepower (HP),Price 
Porsche,78321,3.3,500,49427.89
Mercedes,297121,6.3,408,12605.58
Porsche,89359,3.5,334,73565.28
Porsche,279748,9.7,167,14451.87
Porsche,74243,10.7,164,60290.44
Opel,260512,8.1,340,82216.1
Mercedes,87530,8,488,64063.3
Audi,268396,5,153,22492.6
Volkswagen,185362,9.9,163,14730.13
Mercedes,147150,8.8,343,64295.76
BMW,242931,11.9,481,52943.51
Porsche,84762,3.9,452,64471.32
Volkswagen,46614,5.4,442,79022.34
Porsche,203688,6.9,134,23729.79
Opel,76828,6.2,256,43144.86
BMW,111371,6.1,402,60134.68
BMW,199741,9.5,271,85457.2
Opel,160554,6,367,7357.75
Porsche,87632,4.5,86,64131.96
Audi,251082,9.9,375,51234.22
BMW,47841,10.8,485,77270.4
Opel,9099,8.6,267,44714.87
Porsche,39453,11.4,354,28245.18
Audi,154397,4.7,217,59710.98
Porsche,78987,11.2,295,22622.26
Opel,120151,3.7,200,97567.99
Mercedes,276998,6.6,171,25100.58
Volkswagen,22732,7.2,277,17253.21
Porsche,114284,9,427,39106.77
Opel,99548,8.2,499,96943.39
Porsche,68827,10.6,448,6493.54
Volkswagen,260866,10.7,295,68026.56
Porsche,15184,4.1,120,93202.48
Volkswagen,144976,10,94,66954.21
BMW,249218,6.5,187,21507.32
Mercedes,253432,6.3,440,12250.16
BMW,142864,4.3,70,11218.46
Opel,258782,4,213,9513.67
Volkswagen,111801,7.4,170,34189.41
Audi,87314,5.5,100,42034.44
BMW,202797,8.2,237,62149.21
Audi,128108,6.7,83,47373.84
BMW,273100,11.9,269,13997.76
Opel,216643,7.8,199,27849.86
Mercedes,284024,5.8,189,42529.17
Opel,14321,5.4,395,11770.51
Volkswagen,170917,3,223,33908.45
Opel,288161,3.9,135,86798.21
Porsche,205233,10.7,268,9224.08
BMW,131741,11.5,385,27031.78
Mercedes,280208,4.7,115,49389.34
Audi,116908,7,304,48275.24
Porsche,44181,8.5,190,67506.46
Porsche,59485,9.2,230,49769.53
BMW,233671,10.4,236,88987.55
Porsche,227755,4.6,328,23725.41
Mercedes,265256,10.7,210,61183.83
Porsche,259211,9.3,220,80547.06
Opel,203281,11,436,57124.19
Porsche,124733,9.9,354,59892.36
BMW,239942,10.5,374,62144.44
BMW,143647,11.4,161,97166.19
Porsche,174111,7.2,389,68321.25
Volkswagen,246045,4.1,135,16354.74
Volkswagen,47307,8.3,431,67409.39
Mercedes,207276,8,264,60392.12
Porsche,262369,8.6,424,22224.04
Mercedes,229341,8.3,439,30105.58
BMW,10437,11.5,386,72681.17
Porsche,73433,7.3,129,64944.09
Volkswagen,178738,3.5,113,7626.28
BMW,230931,3.5,482,9454.34
Audi,159700,3.7,144,43154.39
Opel,191145,11,305,53257.83
BMW,293347,6.3,280,60246.78
Opel,99926,3.5,459,69481.43
BMW,13292,11.1,197,11252.24
Porsche,270037,10.5,307,18438.06
Volkswagen,47359,5.5,331,57749.55
BMW,33691,8,367,24308.2
Porsche,127269,5.9,162,8195.02
Mercedes,87280,8.4,155,27262.09
Porsche,111047,9.1,378,46809.33
Volkswagen,267302,7.2,115,59817.19
Opel,70986,4.9,102,81634.86
Opel,168183,4.9,331,24411.99
BMW,209667,6,437,99776.63
BMW,45149,5.1,401,99339.9
Porsche,6221,4.7,155,18776.95
Volkswagen,142241,8.8,500,14487.3
Volkswagen,114343,7,163,85556.58
BMW,249083,8.5,91,93493.38
Audi,63602,5.8,230,62809.41
BMW,245817,9.8,473,31276.76
Audi,39992,6.9,380,23798.81
Volkswagen,68631,9.4,262,71334.54
Volkswagen,269835,12,74,98338.06
BMW,253282,6.8,355,95511.85
Volkswagen,199637,11.7,294,98977.79
Porsche,273157,7.3,267,94733.35
Mercedes,14163,3.7,147,93482.13
Porsche,130058,6,257,23584.19
Opel,278540,6.4,79,5395.3
Mercedes,126656,10.6,70,37456.72
Volkswagen,87505,10.5,357,25343.27
Mercedes,244261,10,434,39466.97
Mercedes,191519,6.7,241,15221.23
Porsche,207921,12,309,58712.65
BMW,298026,10.4,136,39084.72
Volkswagen,299573,5.9,308,68719.82
Opel,296420,7.8,436,5606.74
BMW,212247,10.4,230,67408
Porsche,141305,5.5,393,30502.69
BMW,101710,5.3,122,93393.86
Volkswagen,230727,5.1,353,10257.01
Audi,259313,11.9,209,41826.2
Opel,77252,8.6,207,82915.93
Audi,128554,3.2,234,27994.7
Mercedes,275719,3.4,300,66245.25
Volkswagen,72882,8.1,426,60053.64
Mercedes,63164,11.4,398,23319.44
Opel,272998,10.7,240,65440.79
Opel,80695,10.6,312,59778.37
Mercedes,67222,4.7,220,33754.27
BMW,64025,11.3,323,7313.72
Porsche,269559,8.5,271,8763
Opel,265274,11.4,222,74488.28
Volkswagen,223481,11.1,222,87213.38
BMW,258142,8.3,336,64580.79
Volkswagen,17457,6.7,488,40194.66
Audi,251464,3,294,95562.79
Porsche,288241,5,248,22322.86
Mercedes,298078,8.8,266,54686.72
Audi,118711,5,499,17193.24
Mercedes,193187,10.1,383,69154.03
Volkswagen,39037,5.5,130,92875.45
Porsche,131157,5.7,268,61750.01
Volkswagen,271765,5.5,336,10495.88
BMW,281688,3.3,249,11885.06
BMW,42362,11.2,256,19324.13
Opel,227414,3.5,80,8323.98
Audi,293319,4,200,43561.13
BMW,114598,4.8,242,63850.85
Audi,202328,3.3,385,99612.8
Mercedes,281787,10.3,144,86472.46
Volkswagen,22105,7.2,384,72101.87
Opel,187490,7,189,92399.5
Volkswagen,202500,10.5,166,6465.92
Mercedes,170760,11.4,432,52306.22
BMW,37153,6,307,29645.77
Mercedes,277922,5.8,235,71950.8
Audi,226416,11.8,189,11698.48
Audi,146989,3.9,391,29313.53
Porsche,215632,4,369,82846.02
Porsche,141246,5.8,457,63851.32
Opel,35740,9.6,359,43999.41
Volkswagen,276205,4.4,323,87091.73
BMW,253875,10,323,96051.23
Audi,171702,6.2,268,91616.06
Audi,184906,5.6,432,63804.59
Opel,115150,4.1,436,67236.99
BMW,270154,3.6,232,70081.78
Volkswagen,196748,9.8,356,57088.37
Opel,271245,10.1,334,64672.39
Audi,289428,5.9,394,57825.38
Mercedes,103652,5.7,464,36282.23
Porsche,62416,11.1,366,53136.2
Opel,198211,8.8,332,81351.08
Volkswagen,258765,5.2,136,81094.9
Audi,162449,3.9,109,85714.85
Audi,207278,11.7,163,11463.14
Opel,96784,9.8,464,80380.85
Audi,152969,10.1,485,64408.25
BMW,140344,3.1,372,26829.26
Opel,69055,4,446,78195.01
Audi,242055,7.3,261,19994.88
Porsche,187427,8.6,313,58001.01
Mercedes,58012,3.4,361,26091.27
Volkswagen,31356,4.4,330,75360.15
Volkswagen,95845,6.2,274,64878.64
Mercedes,294457,3.2,177,48658.64
Opel,40827,9.7,172,92934.06
BMW,172323,10.4,221,73192.27
Opel,208216,4.3,132,92844.11
Volkswagen,55648,11,75,79340.09
Audi,177310,8.7,169,28214.55
Mercedes,201297,5.2,387,75127.58
Audi,194057,6.3,447,75007.7
BMW,238845,5.3,315,77122.38
Mercedes,24139,6.1,417,97843.26
Volkswagen,217430,7.5,418,30628.84
BMW,25954,9.2,401,57332.14
Mercedes,30496,9.1,228,78476.48
Mercedes,136867,7.3,255,57918.46
Opel,149054,7.3,208,29231.76
BMW,163070,11.1,397,12977.79
Opel,70596,10.8,304,34291.98
Porsche,273672,9.6,475,93920.16
Volkswagen,7663,7.3,492,73817.19
Volkswagen,49307,12,321,45532.46
Opel,48831,10.6,213,53619.49
Mercedes,37168,11.7,141,68381.86
Mercedes,299043,5.5,232,57636
Opel,139739,5.8,315,5209.73
Mercedes,211384,4,278,64932.51
Mercedes,111358,9.8,412,60065.25
BMW,236282,3.4,345,13651.64
Mercedes,95945,7.9,334,26883.75
Volkswagen,9390,6.5,494,86899.93
Mercedes,205905,10.7,289,81676.6
Volkswagen,147167,8.4,146,6161.55
Mercedes,155587,6,230,91993.76
Volkswagen,275472,5.3,325,63230.23
Mercedes,136074,9,426,12162.16
Volkswagen,209527,8.4,443,36407.35
Porsche,202910,6.7,436,30705.55
Opel,50509,4.3,473,42219.81
Mercedes,15581,10.2,99,34797.29
BMW,273701,6.9,169,12610.22
Opel,292159,4.9,249,28476.45
Mercedes,211018,4,345,74339.62
Mercedes,150217,3.3,169,77519.37
Porsche,267104,3.5,119,72849.09
Porsche,135629,4.5,447,99402.03
Opel,201795,9.1,189,13100.89
Porsche,298820,10.8,82,10204.96
Volkswagen,183342,10.5,362,22508.3
Audi,186678,4.4,413,34365.71
Opel,228227,9,471,89111.06
Porsche,207500,9.6,206,38804.68
Mercedes,254578,4.8,85,17891.94
Volkswagen,88338,11.9,249,96296.1
BMW,114326,9.6,359,59442.06
BMW,282043,10.5,248,36430.2
Volkswagen,230563,8.8,334,38532.16
Opel,268987,6.7,156,93122.11
Volkswagen,249830,10.9,427,8698.81
Mercedes,273799,7.5,125,67304.73
Mercedes,106369,9.1,338,41239.29
Porsche,102363,10.6,412,40208.51
Porsche,141589,9.1,88,21819.91
Porsche,201934,4.3,121,58019.52
Audi,142509,10.2,290,10577.84
BMW,229829,8.1,319,40553.56
BMW,106221,4.9,195,6781.89
Volkswagen,271484,11.4,390,21115.5
BMW,243761,8.1,494,32177.81
Volkswagen,51385,7.6,285,90277.67
Mercedes,152193,5.7,140,8597.11
Porsche,256023,3.9,329,64146.83
Audi,20815,9.9,74,94366.09
Volkswagen,241278,3.1,144,66554.61
Audi,209691,10.3,377,77891.36
Volkswagen,115354,8.4,258,24568.58
Porsche,220925,12,113,25624.77
Audi,45000,7.7,75,61868.26
Porsche,74063,3,299,28437.37
Porsche,67412,8.3,319,18515.37
Opel,232720,11.1,266,5652.81
Volkswagen,59249,10.8,332,92642.39
Porsche,32668,3.9,432,33109.41
Mercedes,196510,8.1,184,69637.43
BMW,167545,8.1,474,5560.13
BMW,203660,6.1,352,79572.07
Porsche,106004,4,417,7011.92
BMW,203807,6.9,399,97576.18
BMW,54423,4,133,93746.84
Opel,131356,9.5,215,51285.74
Porsche,80101,10.3,464,8171.48
BMW,227021,10,461,23672
BMW,252741,3,361,86140.59
Mercedes,268967,4.9,174,70380.06
Volkswagen,71523,6.7,81,95065.77
Audi,199909,11.9,105,7272.54
Audi,195250,5.6,195,85883.76
Opel,27350,3.8,306,27264.03
Porsche,29924,6.9,420,27066.01
BMW,206105,9.9,213,85988.3
BMW,11393,5.9,175,31920.05
BMW,206137,7.6,101,28052.72
Mercedes,116760,4.9,286,63058.74
Porsche,163451,5,341,36392.57
Audi,290585,3.3,284,63596.1
Volkswagen,76643,10.5,175,8524.57
Audi,56538,6.5,134,35296.96
Opel,96629,7.5,412,67860.84
Opel,153668,5.6,210,60826.2
Audi,251582,8.5,363,43000.39
Audi,195586,10.3,324,53570.87
Mercedes,97662,10.7,407,71580.79
Opel,218023,9.5,301,88628.51
Opel,120312,3.4,204,96698.01
Opel,67241,9.2,78,82177.89
BMW,184151,9.1,279,35547.29
Porsche,119095,8.5,246,31925.96
Volkswagen,262855,4.2,462,70950.53
BMW,97809,10,369,85205.66
BMW,125786,10.4,240,64968.19
Volkswagen,218358,3.9,346,67033.95
Audi,188099,3.2,324,55437.8
Volkswagen,161460,3.9,422,25237.06
Opel,134642,3.2,169,17178.7
Mercedes,266558,10.1,207,43771.02
Volkswagen,74333,11.7,180,54905.58
Opel,238147,3.2,108,12255.45
Porsche,178594,8.8,275,51399.76
Volkswagen,89471,10.8,321,36514.68
BMW,231117,9.3,158,72763.64
Audi,171278,4.2,80,82583.56
Porsche,233412,9.1,304,29755.73
Mercedes,5667,5.3,141,70217.18
Mercedes,117782,7.6,429,15004.91
Volkswagen,197922,9.1,314,33509.1
Audi,53798,6.8,449,74718.43
Volkswagen,100637,3.9,364,33662.34
Opel,158279,8.7,403,99797.19
Volkswagen,39710,11.8,111,28006.48
Volkswagen,253893,5.6,326,32107.66
Volkswagen,109627,10.7,332,31419.14
Opel,258615,10.7,459,20070.09
Audi,36318,9.3,252,67988.07
BMW,103633,9.1,455,30617.35
Opel,70068,5,414,21186.46
Mercedes,277045,10.1,197,78485.97
Audi,99930,8.4,346,27299.27
Mercedes,250302,9.3,250,18284.62
Volkswagen,98249,3.3,265,66000.78
Porsche,13062,11.1,239,36363.08
Audi,34955,3.3,415,32122.6
Mercedes,145393,5.1,398,18075.48
Mercedes,251788,3.3,433,63513.77
BMW,154542,10,413,70949.7
Mercedes,226023,5.7,126,77046.87
Opel,22114,3.5,455,33445.25
Volkswagen,84481,8.8,239,55329.27
Opel,196463,3,284,28763.73
Opel,150855,3.8,186,54857.02
Porsche,139784,6.2,312,48689.1
Volkswagen,208901,6.4,427,31914.77
Porsche,125373,8.7,175,70278.94
Mercedes,202662,11.5,417,88094.05
Opel,15755,10,277,37903.23
Audi,191707,11.3,213,5308.85
Porsche,187271,9.2,436,99981.48
BMW,173878,10,491,77972.66
Audi,238843,10.8,141,52857.43
Volkswagen,249429,4.6,395,95399.43
BMW,285497,3,397,21975.86
Volkswagen,196208,7.4,133,34327.76
Volkswagen,207105,3.3,144,75344.81
BMW,263448,11.4,236,17697.4
Audi,269970,8,174,62886.21
Volkswagen,132999,6.9,374,13057.16
BMW,261788,9.6,240,54091.03
Audi,133649,11.4,216,46260.65
Opel,120420,10.4,221,74410.39
Porsche,189981,3,86,32884.33
Porsche,231588,10.4,257,59414.36
Audi,289146,8.6,303,56335.89
Opel,226419,8.2,119,21561.46
Opel,204940,4.9,264,22696.22
Mercedes,86471,5.8,128,19395.54
Volkswagen,186795,11.6,350,87546.89
Volkswagen,119656,6.9,431,57228.13
Porsche,112407,7.9,203,24353.36
Volkswagen,25610,3.1,282,36229.05
Porsche,252242,4.4,222,16184.4
Mercedes,136390,5,457,19352.23
Volkswagen,178423,8.9,347,67983.12
BMW,262179,9,417,8584.06
Porsche,24011,11.3,369,45729.68
Volkswagen,33330,4.5,118,16999.59
Opel,24161,10.1,276,27817.14
Mercedes,80174,5.2,299,17635.59
Opel,43262,10.6,77,93684.23
Mercedes,243384,5.3,466,45660.41
Audi,84171,8.3,80,98550.59
Opel,48877,8.3,113,15289.92
Porsche,102472,6.7,481,92458.9
Volkswagen,288059,10,322,85375.56
Mercedes,21794,7.6,127,72316.11
BMW,265336,11,473,44997.49
Mercedes,222970,3.6,75,83933.35
Opel,196387,11,466,35623.18
Volkswagen,127125,7.9,287,91834.03
Audi,61668,11.2,99,90810.25
Opel,59288,4.6,432,85858.3
Opel,205374,9.8,220,24497.99
Audi,95057,9,391,97089.04
Mercedes,27992,8.5,360,46061.59
Audi,247093,6.9,445,57365.41
Audi,39852,7.1,440,7316.45
Mercedes,65055,4.1,75,55839.6
Opel,293862,3,468,81309.72
Opel,251958,11.3,371,34330.31
Porsche,176803,9,236,52065.96
Volkswagen,100141,3.7,273,8040.74
Opel,131142,4.7,199,63171.82
Porsche,199768,9.7,73,52254.3
Porsche,199987,6.4,360,90205.23
Mercedes,97763,6.6,148,22432.76
BMW,223187,9,130,45820.54
Mercedes,93122,11.5,316,13874.19
BMW,281402,10.9,131,94026.33
Mercedes,120975,6.4,270,98094.28
Mercedes,120512,4.6,202,66778.06
BMW,52270,9.7,219,20518.97
Porsche,274147,6.7,281,71395.31
Volkswagen,113281,3.2,441,82973.37
Opel,49148,6.7,436,21077.79
Volkswagen,211299,8.9,310,78932.12
Opel,132322,6.6,402,18449.46
Porsche,100449,3.3,85,38485.63
Volkswagen,29803,9.1,256,89027.02
Volkswagen,276744,11.7,207,86823.6
Opel,11410,7.2,265,34550.45
Mercedes,229458,6.7,138,84807.83
Opel,61103,4.2,170,72689.48
BMW,188253,10.5,259,66601.94
Volkswagen,189689,9.8,182,9096.78
Opel,31553,10.3,405,75311.65
Volkswagen,81304,11.4,79,92833.4
Mercedes,277075,5.7,203,19228.88
Opel,235759,7.9,329,90857.17
Mercedes,129767,3.6,93,87604.04
Mercedes,138376,9.8,252,20067.42
Porsche,232351,4,146,6156.59
Opel,110136,8.3,367,37362.3
Porsche,126231,4.4,305,83973.22
Audi,173925,8.1,183,73097.14
BMW,189358,9,79,22190.79
Mercedes,290152,10.4,362,52927.62
Volkswagen,72376,10.5,452,71168.65
Mercedes,240288,11.8,446,5869.74
Volkswagen,6150,10.6,471,71462.4
BMW,250743,8.7,447,86231.52
Mercedes,252193,6.9,374,98251.37
Porsche,293538,10.6,378,12729.33
Volkswagen,116092,8,76,88718.55
Mercedes,107863,9.8,284,28997.99
Audi,236821,9.5,98,37530.18
Porsche,81406,11.3,330,37858.01
Porsche,276428,6.8,228,76041.75
