Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type
12,22,1,66,858.36,13,3,Cloudy
12,97,5.5,86,1005.53,3,3,Rainy
3,73,10.5,65,993.69,1,2.5,Snowy
-7,79,13,86,989.76,0,1.5,Snowy
21,28,7.5,14,1015.26,10,5.5,Sunny
39,74,9,87,1000.45,7,8,Cloudy
26,75,17,61,1002.64,0,1,Rainy
0,82,17,50,988.71,1,4.5,Snowy
27,69,3,33,1018.37,4,6.5,Cloudy
22,21,4.5,19,1026.59,5,5,Sunny
13,75,0.5,33,1006.64,1,8,Cloudy
25,74,0,33,1011.2,1,8,Cloudy
30,81,17,51,995.93,0,1,Rainy
15,73,23,86,990.25,2,1,Rainy
23,28,5,0,1016.71,11,10,Sunny
37,62,3,18,1022.64,10,9,Sunny
-8,95,23.5,107,985.07,5,3.5,Snowy
5,36,14.5,68,1195.34,1,16,Rainy
21,97,19.5,74,996.4,3,3.5,Rainy
17,51,10.5,21,1006.16,2,8,Cloudy
22,71,9.5,55,1018.77,1,3.5,Rainy
36,66,2,13,1010.25,6,6.5,Sunny
25,65,7,0,1014.06,10,5,Sunny
27,55,4.5,35,1013.66,1,5.5,Cloudy
54,106,26,83,992.65,1,0.5,Rainy
28,51,6.5,8,1011.58,10,8.5,Sunny
34,69,7.5,32,1019.04,2,8.5,Cloudy
2,86,1.5,76,990.66,1,2.5,Snowy
16,58,7.5,38,1001.5,1,7.5,Cloudy
-7,85,2,99,993.79,0,2.5,Snowy
-3,81,6,87,985.5,0,4.5,Snowy
42,39,7.5,17,1029.23,5,9.5,Sunny
-5,69,17,76,981.49,1,3.5,Snowy
12,69,17.5,73,990.32,2,2,Rainy
10,58,8.5,40,1101.7,5,18,Snowy
10,98,14,97,1007.79,1,4.5,Rainy
23,28,6.5,7,1022.75,5,8.5,Sunny
37,109,22,94,1019.37,0,1.5,Rainy
24,79,12,12,1013.39,3,6,Cloudy
36,96,36.5,91,996.7,10,3,Rainy
44,29,1,12,1012.63,10,6,Sunny
47,108,8,94,1003.87,3,10.5,Cloudy
70,71,6.5,89,1028.88,6,5,Sunny
30,72,5.5,97,1011.47,0,4,Rainy
10,94,13.5,62,1005.18,1,5,Rainy
28,59,9,37,1004.99,2,6,Cloudy
39,24,5.5,9,1025.3,9,7,Sunny
16,101,34.5,72,993.43,14,5,Rainy
18,94,2.5,109,1018.62,11,6,Cloudy
23,25,10,15,1016.92,7,8.5,Sunny
29,34,0.5,17,1017.92,10,6,Sunny
34,50,7.5,41,1012.99,2,7,Cloudy
29,61,14,33,1004.54,3,5.5,Cloudy
9,108,27.5,103,1019.52,10,3,Cloudy
-6,103,8,88,995.28,5,1.5,Snowy
12,74,16,78,994.11,2,2,Rainy
66,83,20.5,109,1005.29,10,6.5,Cloudy
33,34,10,2,1020.04,8,9.5,Sunny
-8,85,9,91,987.23,1,2,Snowy
29,95,15,56,1005.12,2,3,Rainy
37,50,2.5,9,1016.98,5,7,Sunny
-2,63,7.5,94,980.74,0,1.5,Snowy
-16,48,9,76,1157.85,8,2.5,Cloudy
21,68,3,30,1019.34,1,8,Cloudy
36,21,4.5,19,1020.62,6,6.5,Sunny
20,51,3.5,34,1001.09,4,7,Cloudy
21,76,7,57,1014.41,3,1.5,Rainy
12,62,5.5,79,1012.12,4,5.5,Rainy
12,77,4,45,1008.41,4,8.5,Cloudy
10,57,8.5,36,1011.7,4,8,Cloudy
34,31,5,6,1013.68,7,7,Sunny
31,96,14.5,92,1000.22,12,10,Cloudy
13,97,8.5,96,1017.24,3,3.5,Rainy
32,96,6.5,55,1002.53,2,2.5,Rainy
-15,71,14.5,41,864.56,13,11.5,Sunny
36,81,7.5,104,1004.2,8,6,Cloudy
23,43,5,7,1021.71,6,9,Sunny
30,59,5.5,49,1001.22,1,7.5,Cloudy
-2,74,7,83,999.2,0,4,Snowy
15,88,11,60,999.44,1,3,Rainy
28,71,10.5,79,998.57,1,2,Rainy
0,60,5,56,995.59,1,1.5,Snowy
33,67,4.5,46,1013.32,4,9,Cloudy
0,88,4.5,59,983.67,0,4,Snowy
32,68,6,1,1016.28,10,9.5,Sunny
28,66,12.5,45,1000.76,2,9,Cloudy
24,66,9.5,47,1004.79,4,5.5,Cloudy
35,48,2.5,16,1015.9,5,7,Sunny
10,44,7.5,28,933.43,13,3.5,Sunny
-8,63,19.5,52,983.82,0,2,Snowy
21,59,2.5,0,1017.02,9,6,Sunny
11,70,7,12,1005.16,3,7.5,Cloudy
39,94,15.5,94,1010.92,5,1.5,Rainy
-5,87,3.5,52,985.21,0,1,Snowy
20,78,12.5,89,1016.65,13,8.5,Sunny
17,74,10.5,103,1018.89,12,6,Rainy
27,77,0,30,1008.97,4,8.5,Cloudy
39,60,9.5,13,1013.69,8,8,Sunny
1,102,35,90,988.38,5,4,Snowy
13,83,7,90,999.27,2,1.5,Rainy
59,106,8.5,109,1023.39,13,9,Sunny
-1,93,13.5,62,988.34,0,3.5,Snowy
32,66,1.5,33,1010.87,1,8.5,Cloudy
0,78,19.5,85,998.09,0,2,Snowy
-4,61,8,73,990.23,0,3.5,Snowy
-2,94,14,60,991.2,1,3,Snowy
42,26,6.5,6,1011.69,7,7.5,Sunny
11,86,16,64,990.95,2,2.5,Rainy
25,24,7.5,18,1027.27,5,8.5,Sunny
26,95,12.5,66,1009.96,1,2.5,Rainy
14,96,16,59,1016.65,2,4,Rainy
-6,69,4,74,982.49,1,4,Snowy
18,78,3,15,1011.45,2,8.5,Cloudy
28,66,4,5,1018.89,7,9,Sunny
27,63,2.5,16,1029.77,11,9.5,Sunny
15,75,6,30,1010.66,2,6.5,Cloudy
-5,36,9,72,1089.04,3,2,Snowy
-2,68,9,97,988.46,0,4,Snowy
31,59,14.5,20,1001.96,1,7.5,Cloudy
29,55,7,20,1019.91,4,5.5,Cloudy
18,69,13.5,43,1003.49,4,7.5,Cloudy
17,54,1.5,20,1015.92,4,8.5,Cloudy
32,59,7.5,43,1010.05,1,7,Cloudy
32,78,6.5,31,968.75,1,5,Sunny
40,96,1,88,1021.63,0,7.5,Sunny
27,77,16,95,1023.17,0,10.5,Sunny
20,65,10,42,1080.21,10,17,Snowy
-8,89,7,75,987.39,1,4,Snowy
44,40,6,15,1026.5,11,6.5,Sunny
17,63,9,10,1011.5,3,6.5,Cloudy
23,109,0,91,1029.8,4,7,Sunny
17,65,15,60,1001.27,3,4,Rainy
41,38,1.5,8,1028.58,8,9.5,Sunny
13,65,6.5,86,899.08,6,19,Snowy
24,54,14.5,10,1017.7,1,5.5,Cloudy
25,51,4,3,1017.49,9,7.5,Sunny
22,47,2.5,1,1025.67,7,8.5,Sunny
31,106,30,76,1001.99,0,8,Cloudy
2,80,16,77,996.19,4,1.5,Snowy
33,42,4,8,1021.96,5,9,Sunny
23,23,3.5,8,1027.69,5,6.5,Sunny
32,61,6,97,1000.84,0,3,Rainy
35,29,9,20,1092.51,7,16,Cloudy
13,50,6,13,1001.38,1,7.5,Cloudy
12,54,10.5,47,1007.02,3,7,Cloudy
26,33,7.5,6,1025.21,8,7.5,Sunny
23,63,3,18,1024.52,5,8,Sunny
23,104,3.5,76,1028.36,8,4,Sunny
-3,91,19.5,51,985.77,0,2.5,Snowy
12,56,11.5,26,1003.73,3,5.5,Cloudy
-6,95,3.5,82,990.75,11,1,Snowy
5,104,12.5,79,996.81,0,5,Snowy
4,62,7,68,991.16,0,4,Snowy
-2,71,6,91,989.38,0,3,Snowy
22,78,16.5,74,990.53,3,4,Rainy
29,83,17.5,81,1000.77,2,4.5,Rainy
28,67,2.5,28,1045.99,8,3,Cloudy
3,74,15.5,92,981.7,1,1.5,Snowy
29,82,18,78,991.54,3,4,Rainy
-10,75,8.5,94,990.03,0,4,Snowy
18,75,11,20,1003.14,4,7.5,Cloudy
39,39,3.5,16,1014.76,8,8,Sunny
26,60,1.5,14,1028.72,5,8.5,Sunny
0,83,18.5,78,992.31,1,4,Snowy
29,91,19.5,86,1010.19,0,4.5,Rainy
-7,70,15,30,1105.56,9,2.5,Snowy
2,32,5,49,904.2,0,3,Sunny
20,48,9,8,1012.09,10,6.5,Sunny
43,60,3.5,2,1011.03,8,7.5,Sunny
33,69,5,81,994.68,12,16.5,Snowy
26,83,10.5,72,1004.7,1,8,Cloudy
34,53,6.5,41,1013.81,1,8,Cloudy
31,71,11.5,51,999.2,2,4,Rainy
16,103,17.5,95,1004.72,12,1.5,Cloudy
-8,96,16,91,998.14,1,3.5,Snowy
12,56,0.5,48,1008.67,3,7,Cloudy
31,95,5.5,79,994.38,3,4.5,Rainy
15,95,5.5,54,996.04,1,1.5,Rainy
20,79,9.5,40,1004.02,1,5,Cloudy
38,40,5,11,1010.5,9,9.5,Sunny
25,27,4,15,1017.86,5,7.5,Sunny
34,45,7,8,1019.45,9,7,Sunny
19,65,5.5,34,1142.94,5,1,Sunny
27,72,15.5,57,991.14,1,4,Rainy
37,57,3.5,16,1010.9,5,9.5,Sunny
34,79,13.5,89,990.29,0,2.5,Rainy
-16,98,4.5,73,994.1,0,0,Snowy
31,29,7,16,1023.21,5,7,Sunny
21,108,18,96,992.8,9,1.5,Rainy
3,88,19,74,986.86,1,3.5,Snowy
20,21,9,9,1013.66,9,7.5,Sunny
31,52,7,19,1024.37,7,8,Sunny
39,34,3.5,5,1016.3,7,7.5,Sunny
80,76,3,93,1014.26,13,3,Sunny
16,50,9,32,1000.8,1,7.5,Cloudy
19,70,26.5,100,1012.31,9,2,Rainy
-9,94,0,56,987.75,1,3.5,Snowy
19,91,6.5,68,1016.8,2,2,Rainy
-2,83,3.5,52,999.04,1,3.5,Snowy
15,79,0,39,1015.32,4,6,Cloudy
-19,51,10,26,1098.88,6,18.5,Cloudy
26,50,3,20,1008.81,1,5.5,Cloudy
18,98,21,92,1010.14,8,11,Cloudy
44,65,6.5,3,1021.53,8,7,Sunny
42,52,3,12,1025.53,9,5.5,Sunny
15,51,14,44,1006.17,2,7.5,Cloudy
52,101,7,96,1021.67,1,6.5,Sunny
0,89,19.5,54,994.67,0,3.5,Snowy
-9,88,5,63,981.68,0,3,Snowy
41,46,0.5,11,1023.72,10,7,Sunny
11,68,7,81,1004.46,3,1.5,Rainy
2,41,14.5,94,1147.75,11,1,Snowy
26,68,6.5,32,1015.95,2,6,Cloudy
19,87,1,70,1012.87,3,11.5,Sunny
15,99,13.5,80,1002.93,14,9,Cloudy
33,60,7,37,1009.8,2,6,Cloudy
26,71,4,39,1011.13,4,6,Cloudy
31,94,5,53,1000.48,3,4,Rainy
34,89,5.5,85,994.36,0,1.5,Rainy
-10,76,17,51,988.06,1,2,Snowy
45,95,3,107,1013.55,1,8,Cloudy
29,81,5,95,990.38,2,4.5,Rainy
24,94,5.5,58,999.28,2,1.5,Rainy
14,95,15,52,1001.31,3,2.5,Rainy
28,66,1.5,8,1028.57,6,8,Sunny
16,79,12.5,65,994.52,1,1,Rainy
17,66,9.5,28,1006.33,4,6.5,Cloudy
22,76,2.5,35,1006.76,4,7,Cloudy
38,49,11.5,56,1187.38,13,13,Sunny
31,69,5.5,73,1010.26,3,4,Rainy
-13,102,18,93,984.22,9,5.5,Snowy
23,94,18,50,1003.54,1,2,Rainy
19,76,9.5,14,1012.3,2,6.5,Cloudy
39,84,32.5,71,1019.59,3,4,Rainy
4,74,8.5,77,987.85,1,3.5,Snowy
